学年,必修/選択など種別,科目,シラバスURL,単位,履修状況
1,必修,文学Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z001&year=2021&lang=ja,2,合格
1,必修,基礎解析学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z002&year=2021&lang=ja,4,合格
1,必修,基礎数学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z003&year=2021&lang=ja,2,合格
1,必修,基礎物理学Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z004&year=2021&lang=ja,2,合格
1,必修,理科基礎,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z005&year=2021&lang=ja,2,合格
1,必修,化学Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z006&year=2021&lang=ja,2,合格
1,必修,地理学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z007&year=2021&lang=ja,2,合格
1,必修,保健,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z008&year=2021&lang=ja,2,合格
1,必修,体育Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z009&year=2021&lang=ja,2,合格
1,必修,英語Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z010&year=2021&lang=ja,4,合格
1,必修,英語Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z011&year=2021&lang=ja,2,合格
1,選択,音楽・美術,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z012&year=2021&lang=ja,2,合格
1,必修,工学基礎Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z013&year=2021&lang=ja,1,合格
1,必修,工学基礎Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z014&year=2021&lang=ja,1,合格
1,必修,製図,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z015&year=2021&lang=ja,1,合格
1,必修,情報リテラシーⅠ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z016&year=2021&lang=ja,2,合格
1,必修,創造工学実験実習,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=1Z017&year=2021&lang=ja,1,合格
2,必修,文学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z001&year=2021&lang=ja,2,合格
2,必修,解析学Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z002&year=2021&lang=ja,4,合格
2,必修,代数・幾何Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z003&year=2021&lang=ja,2,合格
2,必修,基礎物理学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z004&year=2021&lang=ja,2,合格
2,必修,化学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z005&year=2021&lang=ja,2,合格
2,必修,歴史学Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z006&year=2021&lang=ja,2,合格
2,必修,現代社会Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z007&year=2021&lang=ja,2,合格
2,必修,体育Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z008&year=2021&lang=ja,2,合格
2,必修,英語Ⅲ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z009&year=2021&lang=ja,4,合格
2,必修,英語Ⅳ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=2Z010&year=2021&lang=ja,2,合格
2,必修,専門基礎演習,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=2I001&year=2021&lang=ja,1,合格
2,必修,プログラミングⅠ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=2I002&year=2021&lang=ja,1,合格
2,必修,情報システム演習Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=2I003&year=2021&lang=ja,1,合格
